mass,1073
size,91.25,148.8,200.4
Average Velocity,57.777
Velocity Stdev,14.761
Straight Factor,0.02612
Frame Z Position Stdev,0.896


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
22.23,0.6403,-0.02291,-0.1714,-9.724,0.1658,0.176,0.00228,-0.008941,0.03146
22.25,0.8266,-0.0458,-0.1703,-9.739,0.166,0.1743,0.002805,-0.008199,0.03212
22.27,1.03,-0.07128,-0.1662,-9.754,0.1665,0.172,0.002888,-0.007869,0.03171
22.3,1.26,-0.0985,-0.1602,-9.767,0.1672,0.172,0.002893,-0.007872,0.0317
22.32,1.522,-0.1238,-0.1528,-9.78,0.1683,0.1731,0.002897,-0.007873,0.0317
22.35,1.803,-0.1434,-0.1476,-9.795,0.1695,0.175,0.003294,-0.006706,0.02577
22.38,2.086,-0.1538,-0.1484,-9.81,0.1704,0.1753,0.003492,-0.003994,0.01573
22.4,2.444,-0.1525,-0.1557,-9.825,0.1709,0.1738,0.002362,-0.0005162,0.004825
22.43,2.845,-0.1403,-0.1638,-9.839,0.1708,0.1728,0.001092,0.0004749,0.002777
22.45,-3.046,-0.1225,-0.1691,-9.852,0.1707,0.1729,-0.0006192,0.0004883,0.003517
22.48,-2.755,-0.1073,-0.1706,-9.866,0.1705,0.1743,-0.002541,0.0009275,0.003448
22.5,-2.554,-0.09642,-0.1717,-9.881,0.1704,0.1755,-0.003674,0.002151,0.00495
22.52,-2.361,-0.08858,-0.171,-9.896,0.1704,0.1747,-0.003861,0.002821,0.006292
22.55,-2.168,-0.08269,-0.1694,-9.912,0.1704,0.1729,-0.004026,0.003561,0.007823
22.57,-1.965,-0.07685,-0.1683,-9.925,0.1707,0.1722,-0.004076,0.003649,0.009008
22.6,-1.742,-0.06888,-0.1682,-9.937,0.1713,0.1729,-0.004085,0.003491,0.009302
22.63,-1.489,-0.05813,-0.169,-9.95,0.1723,0.1747,-0.004068,0.003491,0.009302
22.65,-1.217,-0.04509,-0.1703,-9.965,0.1735,0.1758,-0.004058,0.003491,0.009314
22.68,-0.9134,-0.03057,-0.1715,-9.98,0.1748,0.1751,-0.004489,0.002647,0.01367
22.7,-0.5181,-0.01547,-0.1704,-9.995,0.1761,0.1733,-0.003224,-0.0002016,0.02276
22.73,-0.118,-0.002941,-0.1698,-10.01,0.1768,0.173,-0.001104,-0.004278,0.03196
22.75,0.212,0.0024,-0.1693,-10.02,0.177,0.1737,0.0008258,-0.006836,0.03092
22.77,0.4409,-0.004413,-0.1698,-10.04,0.1771,0.1748,0.001012,-0.007535,0.02951
22.8,0.6283,-0.02149,-0.1711,-10.05,0.1772,0.1754,0.001824,-0.008062,0.02935
22.82,0.8124,-0.04369,-0.17,-10.07,0.1775,0.174,0.002353,-0.007604,0.02961
22.85,1.015,-0.06923,-0.1665,-10.08,0.1781,0.1722,0.002391,-0.007431,0.0294
22.88,1.243,-0.09661,-0.1608,-10.09,0.1789,0.1723,0.002395,-0.007432,0.02939
22.9,1.503,-0.1222,-0.1533,-10.11,0.1799,0.1727,0.002399,-0.007433,0.02939
22.93,1.783,-0.1426,-0.1479,-10.12,0.181,0.1742,0.002824,-0.006589,0.02505
22.95,2.064,-0.1534,-0.1482,-10.14,0.1822,0.1751,0.003238,-0.003756,0.01522
22.98,2.41,-0.1531,-0.1552,-10.15,0.1833,0.1739,0.002527,-0.0002109,0.004976
23,2.812,-0.1415,-0.1634,-10.16,0.1841,0.1725,0.001163,0.0007745,0.002757
23.02,-3.083,-0.1239,-0.1688,-10.18,0.1843,0.1729,-0.0002488,0.0007777,0.003348
23.05,-2.791,-0.1081,-0.1711,-10.19,0.1843,0.1746,-0.002614,0.0009327,0.002886
23.07,-2.59,-0.09708,-0.1725,-10.2,0.1841,0.1761,-0.00362,0.001382,0.003401
23.1,-2.404,-0.08934,-0.1721,-10.22,0.184,0.1754,-0.003805,0.001933,0.004794
23.13,-2.216,-0.08363,-0.1701,-10.24,0.1839,0.1734,-0.003861,0.001945,0.006353
23.15,-2.019,-0.07852,-0.1687,-10.25,0.1841,0.1725,-0.003858,0.001688,0.007273
23.18,-1.804,-0.07138,-0.1682,-10.26,0.1847,0.1733,-0.003852,0.001687,0.007273
23.2,-1.56,-0.06149,-0.1687,-10.28,0.1857,0.175,-0.003836,0.001688,0.007274
23.23,-1.293,-0.04906,-0.1698,-10.29,0.1869,0.1759,-0.003826,0.001688,0.007286
23.25,-0.9975,-0.03481,-0.1711,-10.31,0.1882,0.1748,-0.003965,0.001403,0.01055
23.27,-0.611,-0.01963,-0.1701,-10.32,0.1893,0.173,-0.002384,-0.0001186,0.0194
23.3,-0.2103,-0.006282,-0.1695,-10.34,0.19,0.1723,8.585e-05,-0.002644,0.02918
23.32,0.1491,0.001856,-0.1695,-10.35,0.1902,0.1731,0.003486,-0.005336,0.03331
23.35,0.3886,-0.001338,-0.1696,-10.36,0.1902,0.1746,0.003665,-0.0059,0.03183
23.38,0.592,-0.01619,-0.1711,-10.38,0.1902,0.1755,0.004068,-0.005865,0.03097
23.4,0.7775,-0.038,-0.1709,-10.39,0.1904,0.1745,0.004699,-0.005291,0.03172
23.43,0.9771,-0.0634,-0.1679,-10.41,0.1909,0.1728,0.004759,-0.005197,0.03195
23.45,1.202,-0.09126,-0.1624,-10.42,0.1918,0.1726,0.004765,-0.005198,0.03195
23.48,1.459,-0.1179,-0.155,-10.43,0.1928,0.1734,0.00477,-0.005199,0.03195
23.5,1.74,-0.1399,-0.1485,-10.45,0.1939,0.1748,0.004905,-0.004913,0.02869
23.52,2.023,-0.1527,-0.1472,-10.46,0.195,0.1752,0.004704,-0.003397,0.01925
23.55,2.353,-0.1543,-0.1531,-10.48,0.196,0.1736,0.003934,-0.001239,0.008563
23.57,2.755,-0.1442,-0.1618,-10.49,0.1966,0.1722,0.001056,0.0004579,0.002464
23.6,-3.133,-0.1268,-0.1681,-10.5,0.1968,0.1726,0.001045,0.0004567,0.00246
23.63,-2.811,-0.1096,-0.171,-10.52,0.1968,0.1739,-0.001286,0.0005088,0.00271
23.65,-2.591,-0.09786,-0.1719,-10.53,0.1968,0.175,-0.002514,0.000852,0.003185
23.68,-2.401,-0.08952,-0.1718,-10.55,0.1969,0.1748,-0.002702,0.001336,0.004374
23.7,-2.211,-0.08349,-0.1702,-10.56,0.1971,0.1732,-0.002814,0.002031,0.005805
23.73,-2.011,-0.07795,-0.169,-10.58,0.1975,0.1725,-0.00287,0.002351,0.006648
23.75,-1.791,-0.07047,-0.1685,-10.59,0.1983,0.1733,-0.002864,0.00235,0.006647
23.77,-1.542,-0.0604,-0.1689,-10.6,0.1994,0.1752,-0.00285,0.002349,0.006648
23.8,-1.273,-0.04791,-0.17,-10.62,0.2005,0.1763,-0.002838,0.002349,0.006659
23.82,-0.9759,-0.0337,-0.1712,-10.63,0.2016,0.1751,-0.002929,0.002278,0.008489
23.85,-0.5911,-0.01847,-0.1703,-10.65,0.2025,0.173,-0.002821,0.001411,0.01829
23.88,-0.1904,-0.005005,-0.1695,-10.66,0.2029,0.1723,-1.078e-05,-4.613e-05,0.02762
23.9,0.1642,0.002264,-0.1695,-10.68,0.203,0.1731,0.002695,-0.001399,0.02963
23.93,0.3919,-0.002107,-0.1696,-10.69,0.203,0.1747,0.002838,-0.001976,0.0282
23.95,0.5941,-0.01719,-0.171,-10.71,0.203,0.1756,0.003115,-0.002661,0.02712
23.98,0.7861,-0.0397,-0.1712,-10.72,0.203,0.1744,0.003896,-0.002902,0.02834

